몬스터의 기본 정보,,"몬스터의 타입 (1. 일반, 2. 정예, 3.보스)",,,,"몬스터의 공격 유형 (0.공격하지 않는 객체, 1.근접형, 2.원거리형)",,,,,,
몬스터의 스텟과 기본 Id (90001부터 1씩 증가),몬스터 이름,몬스터의 타입,몬스터의 공격 유형 ,몬스터의 체력,몬스터의 공격력,몬스터의 마법공격력,몬스터의 방어력,몬스터의 마법저항력,몬스터의 이동속도,몬스터의 공격범위,몬스터의 모델링,투사체 모델링
Monster_Id,Monster_Name,Monster_Type,Monster_Kind,Monster_Hp,Monster_Atk,Monster_Atk_M,Monster_Def,Monster_Def_M,Monster_Agi,Monster_Atk_Range,Monster_Model,Projectile_Id
int,string,enum,enum,float,float,float,float,float,float,float,string,int
90001,좀비,1,1,800,50,0,0,0,0.5,1,,0
90006,스켈레톤,1,1,800,50,0,0,0,1.5,1,,0
90007,늑대인간,1,1,1280,40,0,20,0,3,1,,0
90008,변이 좀비,1,1,800,50,0,0,0,3,1,,0
90011,플레시 골렘,1,1,800,50,0,0,0,3,1,,0
90012,스톤 골렘,1,1,1000,38,0,15,0,0.5,1,,0
90014,키메라 좀비,1,1,640,60,0,0,0,0.8,2,,0
90016,데스나이트,1,1,1280,40,0,20,0,1,2.5,,0
90017,그렘린,1,1,640,50,80,0,0,3,3,,0
90018,증기기사,1,1,640,50,0,0,0,2,5,,0
90019,광신도,1,2,640,50,80,0,0,1,5,,1
90020,스펙터,1,1,560,75,120,15,0,5,1.5,,0
90021,리치,1,2,560,75,120,15,0,1.5,7.5,,1
90024,네크로맨서,1,2,560,75,120,15,0,2,3,,1
90025,불완전한 신령,1,1,1600,80,0,20,0,0,1,,0
90027,소머리,1,1,1280,40,0,20,0,2.5,2,,0
90028,타락한 영웅,1,1,1600,60,0,20,0,2,1.5,,0
90031,해골 기사,1,1,800,50,0,0,0,1,1.5,,0
90032,증기 마녀,1,2,640,50,80,0,0,0.8,5,,1
90033,명계의 주인,1,2,640,50,80,0,0,1,5,,1
98001,좀비,3,1,28000,100,0,0,0,0.5,2.1,,0
98006,스켈레톤,3,1,28000,100,0,0,0,1.5,2.6,,0
98007,늑대인간,3,1,44800,80,0,20,0,3,2.6,,0
98008,변이 좀비,3,1,28000,100,0,0,0,3,2.1,,0
98011,플레시 골렘,3,1,28000,100,0,0,0,3,2.6,,0
98014,키메라 좀비,3,1,22400,120,0,0,0,0.8,3.6,,0
98016,데스나이트,3,1,44800,80,0,20,0,1,4.1,,0
98017,그렘린,3,1,22400,100,160,0,0,3,4.6,,0
98018,증기기사,3,1,22400,100,0,0,0,2,6.6,,0
98019,광신도,3,2,22400,100,160,0,0,1,6.6,,1
98020,스펙터,3,1,19600,150,240,15,0,5,3.1,,0
98021,리치,3,2,19600,150,240,15,0,1.5,9.1,,1
98024,네크로맨서,3,2,19600,150,240,15,0,2,4.6,,1
98025,불완전한 신령,3,1,56000,160,0,20,0,0,1.6,,0
98027,소머리,3,1,44800,80,0,20,0,2.5,3.6,,0
98028,타락한 영웅,3,1,56000,120,0,20,0,2,3.1,,0
98031,해골 기사,3,1,28000,100,0,0,0,1,3.1,,0
98032,증기 마녀,3,2,22400,100,160,0,0,0.8,6.6,,1
98033,명계의 주인,3,2,22400,100,160,0,0,1,6.6,,1
95001,석탄 조각상,2,0,10000,0,0,10,0,0,1,,0
95002,구리 조각상,2,0,50000,0,0,30,0,0,1,,0
95003,은 조각상,2,0,200000,0,0,50,0,0,1,,0
95004,금 조각상,2,0,500000,0,0,100,0,0,1,,0
95005,다이아 조각상,2,0,2000000,0,0,300,0,0,1,,0
95006,광신도A,2,2,4000,30,20,20,0,0.6,5,,1
95007,광신도B,2,2,3200,40,30,25,0,0.5,5,,1
95008,광신도C,2,2,3600,50,40,15,0,0.6,5,,1
95009,광신도D,2,2,2400,60,60,20,0,0.4,5,,1
95010,암살자A,2,1,6000,60,0,20,0,2,1,,0
95011,암살자B,2,1,8000,80,0,30,0,1.3,1,,0
95012,마법사A,2,2,5000,70,0,15,0,1.2,5,,1
95013,마법사B,2,2,7000,45,0,30,0,1.4,5,,1
95014,마법사C,2,2,6000,60,0,30,0,0.6,5,,1
95015,마법사D,2,2,5500,45,0,10,0,1,5,,1
95016,마법사E,2,2,8000,80,0,30,0,1,5,,1
95017,실력자A,2,1,9000,55,0,20,0,1,1,,0
95018,실력자B,2,2,8000,55,50,20,0,1.1,1.6,,1
95019,실력자C,2,1,8500,65,0,30,0,1.4,1,,0
95020,실력자D,2,2,7500,95,90,45,0,1.2,1.2,,1
95021,실력자E,2,1,10000,75,0,50,0,1.8,1,,0
95022,파수꾼,2,1,500000,200,0,60,0,4,3.2,,0
95023,심판관,2,1,800000,120,0,120,0,4.5,3,,0
